@{Name=AeLookupSvc; Status=Stopped}
@{Name=ALG; Status=Stopped}
@{Name=AppIDSvc; Status=Stopped}
@{Name=Appinfo; Status=Stopped}
@{Name=AppMgmt; Status=Stopped}
@{Name=AppReadiness; Status=Stopped}
@{Name=AppXSvc; Status=Stopped}
@{Name=AudioEndpointBuilder; Status=Stopped}
@{Name=Audiosrv; Status=Stopped}
@{Name=BITS; Status=Stopped}
@{Name=Browser; Status=Stopped}
@{Name=CertPropSvc; Status=Stopped}
@{Name=defragsvc; Status=Stopped}
@{Name=DeviceAssociationService; Status=Stopped}
@{Name=DeviceInstall; Status=Stopped}
@{Name=dot3svc; Status=Stopped}
@{Name=DsmSvc; Status=Stopped}
@{Name=DsRoleSvc; Status=Stopped}
@{Name=Eaphost; Status=Stopped}
@{Name=EFS; Status=Stopped}
@{Name=fdPHost; Status=Stopped}
@{Name=FDResPub; Status=Stopped}
@{Name=hidserv; Status=Stopped}
@{Name=hkmsvc; Status=Stopped}
@{Name=IEEtwCollectorService; Status=Stopped}
@{Name=IKEEXT; Status=Stopped}
@{Name=KdsSvc; Status=Stopped}
@{Name=KeyIso; Status=Stopped}
@{Name=KPSSVC; Status=Stopped}
@{Name=KtmRm; Status=Stopped}
@{Name=lltdsvc; Status=Stopped}
@{Name=MMCSS; Status=Stopped}
@{Name=MSiSCSI; Status=Stopped}
@{Name=msiserver; Status=Stopped}
@{Name=napagent; Status=Stopped}
@{Name=NcaSvc; Status=Stopped}
@{Name=NetTcpPortSharing; Status=Stopped}
@{Name=NtFrs; Status=Stopped}
@{Name=PerfHost; Status=Stopped}
@{Name=pla; Status=Stopped}
@{Name=PolicyAgent; Status=Stopped}
@{Name=PrintNotify; Status=Stopped}
@{Name=RasAuto; Status=Stopped}
@{Name=RasMan; Status=Stopped}
@{Name=RemoteAccess; Status=Stopped}
@{Name=RemoteRegistry; Status=Stopped}
@{Name=RpcLocator; Status=Stopped}
@{Name=RSoPProv; Status=Stopped}
@{Name=sacsvr; Status=Stopped}
@{Name=SCardSvr; Status=Stopped}
@{Name=ScDeviceEnum; Status=Stopped}
@{Name=SCPolicySvc; Status=Stopped}
@{Name=seclogon; Status=Stopped}
@{Name=SessionEnv; Status=Stopped}
@{Name=SharedAccess; Status=Stopped}
@{Name=smphost; Status=Stopped}
@{Name=SNMPTRAP; Status=Stopped}
@{Name=sppsvc; Status=Stopped}
@{Name=SSDPSRV; Status=Stopped}
@{Name=SstpSvc; Status=Stopped}
@{Name=svsvc; Status=Stopped}
@{Name=swprv; Status=Stopped}
@{Name=SysMain; Status=Stopped}
@{Name=TapiSrv; Status=Stopped}
@{Name=TermService; Status=Stopped}
@{Name=THREADORDER; Status=Stopped}
@{Name=TieringEngineService; Status=Stopped}
@{Name=TrkWks; Status=Stopped}
@{Name=TrustedInstaller; Status=Stopped}
@{Name=UI0Detect; Status=Stopped}
@{Name=UmRdpService; Status=Stopped}
@{Name=upnphost; Status=Stopped}
@{Name=VaultSvc; Status=Stopped}
@{Name=vmicguestinterface; Status=Stopped}
@{Name=vmicheartbeat; Status=Stopped}
@{Name=vmickvpexchange; Status=Stopped}
@{Name=vmicrdv; Status=Stopped}
@{Name=vmicshutdown; Status=Stopped}
@{Name=vmictimesync; Status=Stopped}
@{Name=vmicvss; Status=Stopped}
@{Name=vmvss; Status=Stopped}
@{Name=VSS; Status=Stopped}
@{Name=WcsPlugInService; Status=Stopped}
@{Name=WdiServiceHost; Status=Stopped}
@{Name=Wecsvc; Status=Stopped}
@{Name=WEPHOSTSVC; Status=Stopped}
@{Name=wercplsupport; Status=Stopped}
@{Name=wmiApSrv; Status=Stopped}
@{Name=WPDBusEnum; Status=Stopped}
@{Name=WSService; Status=Stopped}
@{Name=wuauserv; Status=Stopped}
@{Name=wudfsvc; Status=Stopped}
